"var","rho_pre_mean","rho_pre_sum","rho_train","rho_test","n"
"emp.4885",0.579352219755965,0.579352219755965,0.721578797432841,0.73018039446763,2374
"emp.6115",0.547990275324287,0.547990275324287,0.729340832968583,0.72961372743827,1949
"emp.5172",0.509107407932026,0.509107407932026,0.721110522469908,0.7222782231671,1157
"emp.92",0.590044795241691,0.590044795241691,0.712672280227606,0.722183000150021,14468
"emp.1028",0.590044795241691,0.590044795241691,0.713685106903119,0.721055645586898,14468
"emp.1013",0.56927441357414,0.56927441357414,0.729014962365114,0.720922617569916,13512
"emp.4543",0.510532864497,0.510532864497,0.675043505323175,0.719422941324706,3833
"emp.4442",0.513450871978069,0.513450871978069,0.709522958705426,0.719082666750866,6849
"emp.8113",0.584559684283307,0.584559684283307,0.733519559907088,0.717222050100829,6115
"emp.4232",0.559611255462727,0.559611255462727,0.708665691460803,0.716181158489763,1646
"emp.4512",0.570790364873482,0.570790364873482,0.735306148538733,0.715241456475258,2703
"emp.3118",0.586129249532366,0.586129249532366,0.716757567408418,0.714906461782872,2722
"emp.5621",0.58685633398172,0.58685633398172,0.678805393061721,0.714832748010484,2467
"emp.5418",0.577834993995064,0.577834993995064,0.726443922463496,0.713859769587773,3813
"emp.4842",0.613031511607574,0.613031511607574,0.73552086062465,0.713212770815375,9474
"emp.5415",0.59142771246968,0.59142771246968,0.677481751705629,0.71150039301689,6162
"emp.3346",-0.0946713151839354,-0.0946713151839354,0.781720005307509,0.710497594503901,137
"emp.4412",0.486200470166005,0.486200470166005,0.707590957821197,0.709142782033183,4985
"emp.4511",0.585992397416677,0.585992397416677,0.711258196044,0.70828430143286,4223
"emp.4246",0.607538986973782,0.607538986973782,0.749479437180142,0.706661256594039,3076
"emp.813",0.540526458864324,0.540526458864324,0.680463659587215,0.704395216610711,8671
"emp.332",0.576088311793239,0.576088311793239,0.706806340610857,0.701378500332272,8691
"emp.711",0.563347088094519,0.563347088094519,0.724549518846423,0.699186022884275,2248
"emp.812",0.543500980072517,0.543500980072517,0.650841384850311,0.697273379964857,9420
"emp.4248",0.484603854963064,0.484603854963064,0.69870488168015,0.696833288076026,1407
"emp.237",0.572301322319372,0.572301322319372,0.691102267888137,0.69631694576187,4219
"emp.339",0.555295636688845,0.555295636688845,0.704713566787249,0.696256465821235,4998
"emp.8134",0.602200491074393,0.602200491074393,0.71045961793073,0.695369484883199,5439
"emp.4922",0.529325279032268,0.529325279032268,0.715173955784623,0.691507701261312,1746
"emp.5323",0.52417276582704,0.52417276582704,0.693732328680442,0.68971785562442,1272
"emp.4859",0.525342539967543,0.525342539967543,0.624497490126342,0.686792047545884,1036
"emp.518",0.562154554442508,0.562154554442508,0.701451886366705,0.686778569778045,1606
"emp.2371",0.574467274280272,0.574467274280272,0.711045882633296,0.686101678700314,5619
"emp.327",0.524437687136547,0.524437687136547,0.674982944967784,0.683596939561835,5485
"emp.9261",0.570056231848849,0.570056231848849,0.670390025859223,0.68355416062589,11040
"emp.451",0.578649148949038,0.578649148949038,0.728174082759481,0.682915351466507,7306
"emp.4811",0.432889548974242,0.432889548974242,0.646863940269724,0.681770010788726,429
"emp.4242",0.57677812048303,0.57677812048303,0.706250286852649,0.681741071946982,1741
"emp.562",0.598792622006866,0.598792622006866,0.706591695191578,0.67958030160676,4542
"emp.3399",0.572037656714777,0.572037656714777,0.73673321576318,0.676290523477353,2885
"emp.323",0.574847615364504,0.574847615364504,0.69318854991838,0.67530056053523,5393
"emp.4422",0.586425384063249,0.586425384063249,0.69900596711549,0.674682416827882,4579
"emp.7131",0.253480905097492,0.253480905097492,0.610170193535381,0.674323723438835,570
"emp.452",0.52921097618958,0.52921097618958,0.63860964178682,0.672756317777369,10533
"emp.8132",0.581916530607931,0.581916530607931,0.694767296369406,0.672721602620296,2061
"emp.524",0.560726687919499,0.560726687919499,0.670668788612451,0.67040900912963,9079
"emp.5182",0.562154554442508,0.562154554442508,0.707051067581933,0.669923342310061,1606
"emp.7113",0.511068136623708,0.511068136623708,0.621893209299512,0.668659663236623,1315
"emp.926",0.570056231848849,0.570056231848849,0.676794894267359,0.668161380284728,11040
"emp.4541",0.5315501956869,0.5315501956869,0.694175032588042,0.668156232107994,2367
"emp.2379",0.552428419269504,0.552428419269504,0.691109492861823,0.666786265972052,1602
"emp.4872",0.519606753190319,0.519606753190319,0.77577210679144,0.66302726073945,208
"emp.6117",0.573457402730599,0.573457402730599,0.678079783945684,0.662054520706831,1535
"emp.1012",0.531906462048884,0.531906462048884,0.629805798959254,0.660546657542623,6484
"emp.4235",0.516108367863755,0.516108367863755,0.670188045699857,0.660306966683303,2089
"emp.3323",0.444565038468158,0.444565038468158,0.658509111725582,0.658217768754004,4138
"emp.3231",0.574847615364504,0.574847615364504,0.69953843915234,0.657379343661253,5393
"emp.7225",0.548597985604279,0.548597985604279,0.631894425152063,0.655594824814594,10740
"emp.7112",0.527344740971832,0.527344740971832,0.622364314044617,0.654495870463735,1335
"emp.722",0.538019610763502,0.538019610763502,0.624506647313522,0.65405523348671,11442
"emp.7111",0.542283171523638,0.542283171523638,0.661791179094016,0.651480974366849,1704
"emp.221",0.570634448699804,0.570634448699804,0.637331949094574,0.650777914589509,4430
"emp.5324",0.49403773074471,0.49403773074471,0.685161568710946,0.650109891641467,2749
"emp.8122",0.545364376273239,0.545364376273239,0.638123390667331,0.646050362685695,6442
"emp.3274",-0.714032247493642,-0.714032247493642,0.946589980868528,0.645868464596196,73
"emp.6214",0.491009429790788,0.491009429790788,0.644287566182357,0.645485789284209,4637
"emp.4451",0.563070379396002,0.563070379396002,0.667839635992937,0.644755989323998,9041
"emp.4243",0.558575499796326,0.558575499796326,0.647235736485348,0.643023375182817,1437
"emp.7115",0.536608967336795,0.536608967336795,0.686173966919668,0.641116695559835,1918
"emp.22",0.570634448699804,0.570634448699804,0.64095672506702,0.640978152516386,4430
"emp.445",0.566475503820954,0.566475503820954,0.66774626631463,0.639053043615994,11493
"emp.3221",-0.232082827788405,-0.232082827788405,0.832665008363174,0.637776152307811,104
"emp.481",0.444150052102171,0.444150052102171,0.627642561162287,0.637595530863958,1103
"emp.4249",0.529247729124728,0.529247729124728,0.647216040491899,0.635132170405024,7110
"emp.6239",0.504129492399089,0.504129492399089,0.651225209040941,0.624350194305047,1282
"emp.311",0.444939329347714,0.444939329347714,0.602957527082776,0.621891948738158,6293
"emp.23",0.531906462048884,0.531906462048884,0.646778019571986,0.621213698466622,6484
"emp.6232",0.444164923210177,0.444164923210177,0.645646179843912,0.619017099502555,2437
"emp.3391",0.447993926528167,0.447993926528167,0.670150579661811,0.614446393177035,2461
"emp.6116",0.524865581525921,0.524865581525921,0.606163744368095,0.61239239384842,4340
"emp.334",0.387929397728352,0.387929397728352,0.611840887168628,0.609498467398459,2548
"emp.485",0.526376757138802,0.526376757138802,0.654130525844412,0.608954579471965,2232
"emp.2372",0.371246208610974,0.371246208610974,0.576757349982539,0.608795286272049,1217
"emp.5179",0.494167315839333,0.494167315839333,0.670850959252241,0.603605752515826,827
"emp.4542",0.453933973825879,0.453933973825879,0.643928795051174,0.601391125765596,1267
"emp.4247",0.487716138067175,0.487716138067175,0.635867189685124,0.600722332295777,2988
"emp.4832",0.124196696775064,0.124196696775064,0.658229286254257,0.597284337167668,147
"emp.4853",0.539347413836328,0.539347413836328,0.664313798188856,0.596984353576864,1457
"emp.5174",-0.00500184481661312,-0.00500184481661312,0.670783859588414,0.595953301166175,122
"emp.6112",0.373978077287597,0.373978077287597,0.808664654065152,0.595576766705069,275
"emp.333",0.486285948311489,0.486285948311489,0.611521658146503,0.593872783248693,6008
"emp.7211",0.524752428885322,0.524752428885322,0.62921854286942,0.592012029868482,5897
"emp.923",0.506881255683897,0.506881255683897,0.57610743641181,0.5896252824958,6706
"emp.325",0.54158670496206,0.54158670496206,0.59763030305199,0.587641118413326,3894
"emp.5622",0.502524447066273,0.502524447066273,0.644291497023805,0.587242258087858,958
"emp.6223",0.338202951910216,0.338202951910216,0.631034597815274,0.586626169179533,207
"emp.5241",0.479971325988279,0.479971325988279,0.577286561772321,0.586114298746736,4119
"emp.3327",0.497190299479884,0.497190299479884,0.613425317832145,0.583980012078662,5164
"emp.7114",0.425493003538566,0.425493003538566,0.555404920485076,0.583562916460869,529
"emp.72",0.468925961247257,0.468925961247257,0.570293791150383,0.582846450331869,10441
"emp.3255",0.398725786057712,0.398725786057712,0.566041465331216,0.580052700697368,644
"emp.493",0.484259062491454,0.484259062491454,0.552507002218288,0.579876945275228,3125
"emp.4855",0.3046730014097,0.3046730014097,0.520629380669028,0.579077461147193,329
"emp.1131",0.11571011366699,0.11571011366699,0.686775356051471,0.577565733609061,146
"emp.1125",-0.139375489364399,-0.139375489364399,0.68872923492903,0.577094587534728,163
"emp.8133",0.498970397396497,0.498970397396497,0.646637205778386,0.576685719300664,2647
"emp.928",0.456942343477533,0.456942343477533,0.575154542688007,0.576413877865556,5470
"emp.3328",0.349767439382668,0.349767439382668,0.499431556069962,0.573688467523085,1784
"emp.4851",0.567664105496547,0.567664105496547,0.885690106731432,0.57262706757897,105
"emp.5615",0.467827484632887,0.467827484632887,0.543103622358038,0.572620143670044,2511
"emp.9251",0.461846231308249,0.461846231308249,0.473652699808423,0.572070401816327,1310
"emp.3365",0.0431839690043035,0.0431839690043035,0.867585652606467,0.56701126558831,65
"emp.9231",0.506881255683897,0.506881255683897,0.585686865115435,0.566350549014166,6706
"emp.721",0.489201436720999,0.489201436720999,0.584951712770245,0.566254494269811,9067
"emp.9281",0.456942343477533,0.456942343477533,0.581697363078256,0.56207829656605,5470
"emp.3334",0.290453434778101,0.290453434778101,0.586648189823968,0.560222531750468,623
"emp.5419",0.484675879275367,0.484675879275367,0.595489984433433,0.550589915307504,9472
"emp.4931",0.484259062491454,0.484259062491454,0.567649903923126,0.550002815658323,3125
"emp.3326",0.240850428440057,0.240850428440057,0.62964507055884,0.548694500692593,396
"emp.3315",0.163076767054391,0.163076767054391,0.396389109772756,0.546064431805078,500
"emp.7139",0.467825450010459,0.467825450010459,0.571148688219992,0.544500690449499,4672
"emp.3114",-0.1110910787345,-0.1110910787345,0.554739263241192,0.54182541946406,556
"emp.5112",0.418916126877201,0.418916126877201,0.595407272085333,0.539533311916865,1596
"emp.3261",0.442162265605844,0.442162265605844,0.558397393420866,0.538387687716565,1832
"emp.713",0.453634509224268,0.453634509224268,0.568169156290099,0.537589191074772,5118
"emp.3149",0.420352040715535,0.420352040715535,0.528228585093324,0.537135475948098,1077
"emp.624",0.433652631171883,0.433652631171883,0.554312310391168,0.536242984627948,4664
"emp.3379",0.0356072410418428,0.0356072410418428,0.687784088292629,0.534218041160373,250
"emp.2111",0.358844302124295,0.358844302124295,0.587794182569202,0.533698742263057,1209
"emp.3345",0.308312584391851,0.308312584391851,0.588039618093625,0.528612883795367,1406
"emp.5331",0.473896641992628,0.473896641992628,0.599584101305524,0.526963003875622,798
"emp.3353",0.279831992343381,0.279831992343381,0.498498122129406,0.519003958927499,734
"emp.3351",0.338536406969818,0.338536406969818,0.59458794808957,0.518431646441885,254
"emp.1141",-0.0562433274680654,-0.0562433274680654,0.609810384263347,0.516752535387017,172
"emp.3279",0.286483834272237,0.286483834272237,0.539779014133808,0.515341212317816,1192
"emp.5259",0.37860067312912,0.37860067312912,0.489727767839118,0.513902300068309,244
"emp.3132",-0.406453906167242,-0.406453906167242,0.679532612076101,0.513423837852159,255
"emp.533",0.473896641992628,0.473896641992628,0.606507696181032,0.506983525783663,798
"emp.312",0.422499703104771,0.422499703104771,0.56959703296208,0.505316010127041,2015
"emp.337",0.444316347304147,0.444316347304147,0.550909328346566,0.505046889035489,4702
"emp.3342",0.178809212227974,0.178809212227974,0.471845489563516,0.504233135937942,531
"emp.3339",0.394480337463803,0.394480337463803,0.519123464173781,0.504128340719788,1939
"emp.3333",0.25787498752226,0.25787498752226,0.520869856659635,0.503841258277381,727
"emp.326",0.355308709889655,0.355308709889655,0.484714231078519,0.502730676165507,3899
"emp.6241",0.440490124425037,0.440490124425037,0.55300220716722,0.502543972984891,4558
"emp.3335",0.345866192489237,0.345866192489237,0.513392405378543,0.502251363273808,2286
"emp.6222",0.429655522655038,0.429655522655038,0.520732501891756,0.500447880317099,198
"emp.4812",0.26548636265393,0.26548636265393,0.583366640909163,0.498531107257007,596
"emp.4889",0.377032264513102,0.377032264513102,0.610145543273853,0.497704414485419,511
"emp.4831",0.00580176686982306,0.00580176686982306,0.485250289007349,0.497049522842854,170
"emp.6211",0.45669180580479,0.45669180580479,0.534448370101483,0.496707309859922,10060
"emp.3371",0.43886097462849,0.43886097462849,0.569863924297537,0.49474417515005,2536
"emp.4861",0.537887653378058,0.537887653378058,0.869569242583351,0.492855665366534,67
"emp.6113",0.419441398987053,0.419441398987053,0.569764613600811,0.492271659856402,424
"emp.8131",0.415553605192094,0.415553605192094,0.529084458596503,0.49181452482024,2179
"emp.3113",0.459197390980382,0.459197390980382,0.541359842227908,0.491530746373836,612
"emp.1011",0.200570086007728,0.200570086007728,0.516533028534195,0.490557410428933,13247
"emp.2211",0.455617434435841,0.455617434435841,0.504189746346254,0.490146196407407,1803
"emp.211",0.358844302124295,0.358844302124295,0.598716691441191,0.488103734344087,1209
"emp.3332",0.245684205091169,0.245684205091169,0.516369708462176,0.487335010179695,1245
"emp.1123",0.0291421805649317,0.0291421805649317,0.660439967357558,0.484707749145705,453
"emp.5417",0.362533524134652,0.362533524134652,0.472721926319672,0.483460241782546,2432
"emp.3251",0.190699736708699,0.190699736708699,0.484147304986477,0.482466066946157,930
"emp.5122",0.336809631890474,0.336809631890474,0.542139942098456,0.47930120784543,736
"emp.1022",0.398956951493368,0.398956951493368,0.450222008250863,0.477365839103706,5774
"emp.3364",0.229308821203131,0.229308821203131,0.479934355179833,0.476817953029835,472
"emp.2123",0.306714291335303,0.306714291335303,0.437124981253483,0.476625049193734,1514
"emp.3253",0.222626930607162,0.222626930607162,0.514481023125112,0.475775240398675,209
"emp.925",0.461846231308249,0.461846231308249,0.51609244097073,0.475708797799637,1310
"emp.4881",0.389296642343336,0.389296642343336,0.480090940867041,0.474329609820354,1376
"emp.4883",0.288273900202668,0.288273900202668,0.538032012034153,0.472962588191006,541
"emp.322",0.257528670538195,0.257528670538195,0.408888887671218,0.4661552589139,1821
"emp.5191",0.412427048750173,0.412427048750173,0.488831711707641,0.465092100319126,2456
"emp.314",0.342528880885898,0.342528880885898,0.451526365212929,0.463338620065121,2247
"emp.3344",0.140582217259441,0.140582217259441,0.509013617039006,0.460065670730126,1017
"emp.561",0.391782143950804,0.391782143950804,0.44891451802175,0.458950194212641,4884
"emp.6243",0.438428135710362,0.438428135710362,0.506036937154343,0.458192418555768,1421
"emp.487",0.363724836569437,0.363724836569437,0.565831702524878,0.457692447077998,536
"emp.3324",0.064118802164365,0.064118802164365,0.464163901229459,0.457394560964384,697
"emp.488",0.426352758984446,0.426352758984446,0.485225251391184,0.456664315298766,3725
"emp.3329",0.345602002936246,0.345602002936246,0.476692586610918,0.455135545839789,1920
"emp.3322",0.261506481185454,0.261506481185454,0.511768862268948,0.454999231837941,308
"emp.335",0.3559211604421,0.3559211604421,0.497820349770549,0.454990709559616,1961
"emp.3314",-0.154467173561272,-0.154467173561272,0.477033856945291,0.452766036211417,250
"emp.3222",0.250964950624709,0.250964950624709,0.504144946187037,0.452414810588548,1063
"emp.4521",0.333510014081606,0.333510014081606,0.410193572571617,0.450746075300944,4154
"emp.3219",0.231947132563197,0.231947132563197,0.41874448756143,0.449432229801653,2263
"emp.51",0.398956951493368,0.398956951493368,0.46562586304009,0.444605870769755,5774
"emp.3121",0.372322259428915,0.372322259428915,0.542954696854661,0.442840153766779,1743
"emp.81",0.268988893782103,0.268988893782103,0.444902858248507,0.441214119403567,9567
"emp.213",0.202777134747105,0.202777134747105,0.432340944946097,0.43942551845077,2393
"emp.3272",-0.051592405354225,-0.051592405354225,0.410639688976068,0.438858790896101,425
"emp.3256",0.355338423656023,0.355338423656023,0.463159420325999,0.437897901794783,806
"emp.519",0.412427048750173,0.412427048750173,0.500496067843675,0.435014538170332,2456
"emp.3359",0.0187208274532467,0.0187208274532467,0.51659574051012,0.432712819137918,627
"emp.56",0.359297370234031,0.359297370234031,0.447557605857324,0.432076352858448,6225
"emp.6221",0.361590456043472,0.361590456043472,0.504462139060301,0.4314737000883,1729
"emp.3331",0.278329716181027,0.278329716181027,0.445784030051408,0.430610692272301,1022
"emp.313",-0.223561504522059,-0.223561504522059,0.381422013060722,0.430229982379495,961
"emp.324",0.172015118680374,0.172015118680374,0.435386941489678,0.42824510040328,587
"emp.3241",0.172015118680374,0.172015118680374,0.452500906997159,0.424728808388187,587
"emp.1027",0.268988893782103,0.268988893782103,0.452531921105857,0.420887652100126,9567
"emp.9241",0.279908299956607,0.279908299956607,0.454815712613211,0.419183583442211,12332
